,ug,ur,ui,uz,uj,uk,uw1,uw2,gr,gi,gz,gk,gw1,gw2,ri,rz,rw1,rw2,iz,ij,ik,iw1,iw2,zj,zk,zw1,zw2,jw1,jw2,kw1,kw2,w1w2,class_bin
0,0.9913999999999988,2.6709,3.9360000000000004,4.606000000000002,4.640063000000001,5.577867999999999,6.331862000000001,6.792161,1.6795000000000009,2.944600000000001,3.614600000000003,4.586468,5.340462000000001,5.800761000000001,1.2651000000000003,1.935100000000002,3.6609620000000014,4.1212610000000005,0.6700000000000017,0.7040630000000014,1.6418679999999988,2.395862000000001,2.856161,0.0340629999999997,0.9718679999999972,1.7258619999999991,2.1861609999999985,1.6917989999999996,2.1520979999999987,0.7539940000000023,1.2142930000000014,0.4602989999999991,0
1,1.6696000000000026,2.799800000000001,3.9460000000000015,4.653000000000001,4.774833000000001,5.712456000000002,6.839255000000001,7.140016999999999,1.1301999999999983,2.2763999999999993,2.9834,4.042856,5.169654999999999,5.470416999999998,1.1462000000000003,1.8532000000000008,4.039455,4.340216999999999,0.7070000000000007,0.8288329999999995,1.7664560000000016,2.893255,3.1940169999999988,0.1218329999999987,1.0594560000000008,2.186254999999999,2.487016999999998,2.0644220000000004,2.365184,1.1267989999999983,1.4275609999999972,0.3007619999999988,1
2,-0.0635999999999974,1.4667000000000032,2.5280000000000022,2.9510000000000005,3.489250000000002,4.446374000000001,3.788207,3.747212000000001,1.5303000000000004,2.5916,3.0145999999999984,4.509974,3.851806999999997,3.810811999999999,1.0612999999999992,1.4842999999999975,2.321506999999997,2.280511999999998,0.4229999999999982,0.9612499999999996,1.9183740000000002,1.2602069999999976,1.2192119999999989,0.5382500000000014,1.4953740000000018,0.8372069999999994,0.7962120000000006,0.2989569999999979,0.2579619999999991,-0.6581670000000024,-0.6991620000000012,-0.0409949999999987,0
3,0.1250999999999997,1.7898999999999994,2.5120000000000005,2.802,3.6576270000000015,4.726333,4.291627000000002,4.35454,1.6647999999999996,2.3869000000000007,2.6769,4.6012330000000015,4.166527000000002,4.22944,0.7221000000000011,1.0121000000000002,2.5017270000000025,2.5646400000000007,0.2899999999999991,1.145627000000001,2.2143330000000003,1.7796270000000014,1.84254,0.8556270000000019,1.9243330000000007,1.4896270000000025,1.5525400000000005,0.6340000000000003,0.6969129999999986,-0.4347059999999985,-0.3717930000000002,0.0629129999999982,0
4,0.0427999999999997,1.469100000000001,2.164999999999999,2.4869999999999983,3.120206,4.259294999999998,4.177098000000001,4.230726999999998,1.4263000000000012,2.1221999999999994,2.4441999999999986,4.216494999999998,4.134298000000001,4.187926999999998,0.6958999999999982,1.0178999999999974,2.707998,2.761626999999997,0.3219999999999992,0.9552060000000004,2.094294999999999,2.0120980000000017,2.065726999999999,0.6332060000000013,1.7722949999999995,1.6900980000000023,1.7437269999999998,1.0568920000000013,1.1105209999999983,-0.0821969999999971,-0.0285679999999999,0.0536289999999972,1
5,1.7147000000000006,2.9419000000000004,3.6510000000000002,4.353999999999999,4.482183999999999,5.783713000000002,5.190422999999999,5.504176000000001,1.2271999999999998,1.9362999999999992,2.6392999999999978,4.069013000000002,3.4757229999999986,3.7894760000000014,0.7090999999999994,1.4120999999999988,2.2485229999999987,2.5622760000000007,0.7029999999999994,0.8311840000000004,2.1327130000000025,1.539422999999999,1.8531760000000013,0.1281840000000009,1.4297130000000031,0.8364229999999999,1.1501760000000019,0.708238999999999,1.0219920000000011,-0.5932900000000032,-0.2795370000000012,0.3137530000000019,0
6,0.5084000000000017,0.9406,2.1060000000000016,3.0600000000000023,3.9370170000000013,5.336723000000003,6.818943000000001,7.4117000000000015,0.4321999999999981,1.5976,2.5516000000000005,4.828323000000001,6.310542999999999,6.9033,1.1654000000000018,2.1194000000000024,5.878343000000001,6.4711000000000025,0.9540000000000006,1.8310169999999992,3.230723000000001,4.712942999999999,5.3057,0.8770169999999986,2.2767230000000005,3.7589429999999986,4.351699999999999,2.881926,3.4746830000000006,1.4822199999999979,2.0749769999999987,0.5927570000000006,1
7,1.9089999999999991,3.502299999999998,4.207999999999998,4.649000000000001,5.295424999999998,6.245705000000001,6.214192999999997,6.145142,1.5932999999999993,2.2989999999999995,2.740000000000002,4.336705000000002,4.305192999999999,4.236142000000001,0.7057000000000002,1.1467000000000027,2.711893,2.6428420000000017,0.4410000000000025,1.0874249999999996,2.0377050000000025,2.006193,1.9371420000000013,0.6464249999999971,1.5967049999999998,1.5651929999999972,1.4961419999999992,0.918768,0.8497170000000018,-0.0315120000000028,-0.10056300000000098,-0.0690509999999982,1
8,2.7977999999999987,4.1936,5.038,5.5710000000000015,5.857658000000002,6.86251,6.546819999999999,6.479561,1.3958000000000013,2.240200000000001,2.7732000000000028,4.064710000000002,3.7490200000000016,3.6817610000000016,0.8444000000000003,1.3774000000000015,2.3532200000000003,2.2859610000000004,0.5330000000000013,0.8196580000000004,1.8245099999999999,1.50882,1.441561,0.2866579999999992,1.2915099999999988,0.9758199999999988,0.9085609999999988,0.6891619999999996,0.6219029999999997,-0.31569,-0.382949,-0.0672589999999999,1
9,-1.688299999999998,0.9529999999999994,2.311,3.155999999999999,2.559867000000001,3.6834899999999986,3.9601230000000003,4.157539,2.641299999999997,3.999299999999998,4.844299999999997,5.371789999999997,5.6484229999999975,5.845838999999998,1.3580000000000003,2.2029999999999994,3.007123,3.2045390000000005,0.8449999999999989,0.2488670000000006,1.372489999999999,1.6491229999999997,1.846539,-0.5961329999999982,0.5274900000000002,0.8041230000000006,1.001539000000001,1.4002559999999988,1.597671999999999,0.2766330000000003,0.4740490000000008,0.1974160000000004,0
