,data,RA,DEC,G_mag,R_mag,J_mag,K_mag,redshift,class,U_mag,I_mag,Z_mag,ug,ur,ui,uz,uj,uk,uw1,uw2,gr,gi,gz,gk,gj,gw1,gw2,ri,rz,rj,rw1,rk,rw2,iz,ij,ik,iw1,iw2,zj,zk,zw1,zw2,jw1,jw2,jk,kw1,kw2,w1w2,class_cleaned
0,SpIES,0.062537,-0.578794,24.2109,22.2703,19.78327,18.481094,-999.0,none,25.203,20.571,19.78,0.9921000000000006,2.9327000000000005,4.631999999999998,5.422999999999998,5.419729999999998,6.721906000000001,7.56861,7.550075,1.9405999999999999,3.6398999999999972,4.430899999999998,5.729806,4.427629999999997,6.576509999999999,6.557974999999999,1.6992999999999974,2.4902999999999977,2.487029999999997,4.635909999999999,3.789206,4.617374999999999,0.7910000000000004,0.7877299999999998,2.0899060000000027,2.9366100000000017,2.9180750000000018,-0.0032700000000005502,1.2989060000000023,2.1456100000000013,2.1270750000000014,2.148880000000002,2.130345000000002,1.3021760000000029,0.846703999999999,0.828168999999999,-0.018534999999999968,none
1,SpIES,0.069474,0.089717,23.3576,21.6781,19.708937,18.771132,999.0,?,24.349,20.413,19.743,0.9913999999999987,2.6708999999999996,3.936,4.606000000000002,4.640063000000001,5.577867999999999,6.331862000000001,6.792161,1.6795000000000009,2.944600000000001,3.614600000000003,4.586468,3.6486630000000027,5.340462000000002,5.800761000000001,1.2651000000000003,1.935100000000002,1.9691630000000018,3.6609620000000014,2.906967999999999,4.1212610000000005,0.6700000000000017,0.7040630000000014,1.6418679999999988,2.395862000000001,2.856161,0.03406299999999973,0.9718679999999971,1.7258619999999993,2.1861609999999985,1.6917989999999996,2.1520979999999987,0.9378049999999973,0.7539940000000023,1.2142930000000014,0.4602989999999991,?
2,SpIES,0.134173,0.695095,23.4021,21.9563,19.740633,18.790592,-999.0,none,25.141,20.98,21.46,1.7388999999999974,3.1846999999999994,4.160999999999998,3.6809999999999974,5.400366999999999,6.350407999999998,6.616885,6.696983999999997,1.445800000000002,2.4221000000000004,1.9421,4.611508000000001,3.661467000000002,4.8779850000000025,4.9580839999999995,0.9762999999999984,0.49629999999999797,2.215667,3.4321850000000005,3.1657079999999986,3.5122839999999975,-0.4800000000000004,1.2393670000000014,2.1894080000000002,2.455885000000002,2.535983999999999,1.7193670000000019,2.6694080000000007,2.9358850000000025,3.0159839999999996,1.2165180000000007,1.2966169999999977,0.9500409999999988,0.26647700000000185,0.3465759999999989,0.08009899999999703,none
3,SpIES,0.148627,0.954599,22.5714,21.4646,19.176252,18.133766,-999.0,none,23.911,20.68,19.977,1.3396000000000008,2.4464000000000006,3.2310000000000016,3.934000000000001,4.734748,5.777234,6.3614200000000025,6.346700000000002,1.1067999999999998,1.8914000000000009,2.5944000000000003,4.437633999999999,3.395147999999999,5.021820000000002,5.007100000000001,0.7846000000000011,1.4876000000000005,2.288347999999999,3.915020000000002,3.3308339999999994,3.9003000000000014,0.7029999999999994,1.503747999999998,2.5462339999999983,3.130420000000001,3.1157000000000004,0.8007479999999987,1.843233999999999,2.4274200000000015,2.412700000000001,1.6266720000000028,1.6119520000000023,1.0424860000000002,0.5841860000000025,0.569466000000002,-0.01472000000000051,none
4,SpIES,0.192235,-0.534088,22.7765,21.1863,19.500998,18.531534,-999.0,none,22.449,20.503,19.855,-0.327499999999997,1.2627000000000024,1.9460000000000015,2.594000000000001,2.9480020000000025,3.917466000000001,3.5045,3.7352680000000014,1.5901999999999994,2.2734999999999985,2.921499999999998,4.244965999999998,3.2755019999999995,3.831999999999997,4.062767999999998,0.6832999999999991,1.3312999999999988,1.685302,2.241799999999998,2.6547659999999986,2.472567999999999,0.6479999999999997,1.002002000000001,1.9714659999999995,1.5584999999999987,1.7892679999999999,0.35400200000000126,1.3234659999999998,0.910499999999999,1.1412680000000002,0.5564979999999977,0.7872659999999989,0.9694639999999985,-0.41296600000000083,-0.18219799999999964,0.2307680000000012,none
5,SpIES,0.567052,0.621691,22.115,22.3845,19.731567,18.790096,-999.0,none,23.735,20.092,19.872,1.620000000000001,1.3505000000000003,3.6430000000000007,3.8629999999999995,4.003433000000001,4.944904000000001,4.781199999999998,4.895150000000001,-0.26950000000000074,2.0229999999999997,2.2429999999999986,3.324904,2.383433,3.1611999999999973,3.27515,2.2925000000000004,2.5124999999999993,2.652933000000001,3.430699999999998,3.594404000000001,3.5446500000000007,0.21999999999999886,0.36043300000000045,1.3019040000000004,1.1381999999999977,1.2521500000000003,0.14043300000000158,1.0819040000000015,0.9181999999999988,1.0321500000000015,0.7777669999999972,0.8917169999999999,0.941471,-0.16370400000000274,-0.049754000000000076,0.11395000000000266,none
6,SpIES,0.89695,-0.853132,22.7775,21.6727,19.68032,18.82614,-999.0,none,22.819,20.731,20.094,0.041499999999999204,1.1463,2.0879999999999974,2.724999999999998,3.138680000000001,3.9928600000000003,4.323855999999999,4.263783999999998,1.104800000000001,2.046499999999998,2.6834999999999987,3.951360000000001,3.0971800000000016,4.282356,4.222283999999998,0.9416999999999973,1.5786999999999978,1.9923800000000007,3.177555999999999,2.84656,3.1174839999999975,0.6370000000000005,1.0506800000000034,1.9048600000000029,2.235856000000002,2.175784,0.41368000000000293,1.2678600000000024,1.5988560000000014,1.5387839999999997,1.1851759999999985,1.1251039999999968,0.8541799999999995,0.33099599999999896,0.2709239999999973,-0.06007200000000168,none
7,SpIES,1.048396,0.220706,23.269,21.3521,19.562054,18.58928,-999.0,none,25.754,20.636,20.207,2.485000000000003,4.401900000000001,5.118000000000002,5.547000000000001,6.1919460000000015,7.164720000000003,6.873411000000001,7.171944,1.9168999999999983,2.632999999999999,3.0619999999999976,4.67972,3.7069459999999985,4.388410999999998,4.686943999999997,0.7161000000000008,1.1450999999999993,1.7900460000000002,2.4715109999999996,2.7628200000000014,2.7700439999999986,0.4289999999999985,1.0739459999999994,2.0467200000000005,1.7554109999999987,2.0539439999999978,0.6449460000000009,1.617720000000002,1.3264110000000002,1.6249439999999993,0.6814649999999993,0.9799979999999984,0.9727740000000011,-0.2913090000000018,0.007223999999997233,0.29853299999999905,none
8,SpIES,2.9154,-0.17364,23.1258,22.328,19.460985,18.569656,-999.0,none,24.214,20.975,20.115,1.088199999999997,1.8859999999999992,3.238999999999997,4.099,4.753014999999998,5.644344,6.8544969999999985,7.318745999999997,0.7978000000000023,2.1508000000000003,3.0108000000000033,4.556144000000003,3.664815000000001,5.766297000000002,6.230546,1.352999999999998,2.213000000000001,2.8670149999999985,4.968496999999999,3.758344000000001,5.432745999999998,0.860000000000003,1.5140150000000006,2.405344000000003,3.6154970000000013,4.079746,0.6540149999999976,1.545344,2.7554969999999983,3.219745999999997,2.1014820000000007,2.5657309999999995,0.8913290000000025,1.2101529999999983,1.674401999999997,0.4642489999999988,none
9,SpIES,3.062437,0.807144,23.9467,22.395,19.478487,18.68961,-999.0,none,25.035,21.321,20.59,1.0883000000000003,2.6400000000000006,3.7139999999999986,4.445,5.556512999999999,6.345390000000002,7.4994890000000005,8.021937999999999,1.5517000000000003,2.6256999999999984,3.3567,5.257090000000002,4.468212999999999,6.411189,6.933637999999998,1.073999999999998,1.8049999999999997,2.9165129999999984,4.859489,3.7053900000000013,5.381937999999998,0.7310000000000016,1.8425130000000003,2.6313900000000032,3.785489000000002,4.307938,1.1115129999999986,1.9003900000000016,3.0544890000000002,3.5769379999999984,1.9429760000000016,2.4654249999999998,0.7888770000000029,1.1540989999999987,1.6765479999999968,0.5224489999999982,none
